scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
fast growth,long,200,exponential,55,1,,4000,1,0,0,3,1723,0.43075,0.5
fast growth,medium,200,exponential,56,1,,4000,1,0,0,3,1565,0.39125,0.5
fast growth,short,200,exponential,57,1,,4000,1,0,0,3,1589,0.39725,0.5
growth,long,200,exponential,58,1,,4000,1,0,0,3,1661,0.41525,0.5
growth,medium,200,exponential,59,1,,4000,1,0,0,3,1591,0.39775,0.5
growth,short,200,exponential,60,1,,4000,1,0,0,3,1643,0.41075,0.6
stable,long,200,exponential,61,1,,4000,1,0,0,3,1621,0.40525,0.5
stable,medium,200,exponential,62,1,,4000,1,0,0,3,1480,0.37,0.5
stable,short,200,exponential,63,1,,4000,1,0,0,3,1656,0.414,0.6
120 days,,834,ebola_case_study,64,,real-time,4000,1,0,0,3,1528,0.382,1
120 days,,1032,ebola_case_study,65,,retrospective,4000,1,0,0,3,1558,0.3895,1.1
180 days,,3149,ebola_case_study,66,,real-time,4000,1,0,0,3,1567,0.39175,2.4
180 days,,3532,ebola_case_study,67,,retrospective,4000,1,0,0,3,1605,0.40125,2.7
240 days,,2399,ebola_case_study,68,,real-time,4000,1,0,0,3,1521,0.38025,1.9
240 days,,2483,ebola_case_study,69,,retrospective,4000,1,0,0,3,1616,0.404,2
60 days,,401,ebola_case_study,70,,real-time,4000,1,0,0,3,1516,0.379,0.6
60 days,,428,ebola_case_study,71,,retrospective,4000,1,0,0,3,1557,0.38925,0.7
